image_id,image_path,text_desc,weight,color,season,taste,shape,label,id
IMG_0722.JPG,https://drive.google.com/file/d/1vg-GsRAI8E7BrHr3k1ZrvEeIYQ-WRBUq/view?usp=drivesdk,A medium item distinguishable by its purple hue and round form.,166,Yellow,Year Round,Crisp,Round,onion,1
IMG_0723.JPG,https://drive.google.com/file/d/1uvMn74zXTj3kx2YlTwMqsiAtJK60Eb6X/view?usp=drivesdk,A medium globe-shaped item with a layered earthy surface.,166,Orange,Summer,Earthy,Round,onion,2
IMG_0724.JPG,https://drive.google.com/file/d/1nRx_42wjuH0L4P3zbd4uMWyDQ5vy7flO/view?usp=drivesdk,A medium organic matter distinguishable by its brownish hue and round form.,166,Orange,Spring,Juicy,Round,onion,3
IMG_0725.JPG,https://drive.google.com/file/d/1Jaf-VjidhZJTQMWpqM6scosIqNDTv6JB/view?usp=drivesdk,This produce is orb-like and features a smooth appearance.,159,Orange,Autumn,Juicy,Long,onion,4
IMG_0726.JPG,https://drive.google.com/file/d/1wK2STOXlXYLoLAkODFdYP9zU9IeUVrxt/view?usp=drivesdk,A white item with a orb-like silhouette.,159,Orange,Summer,Juicy,Oval,onion,5
IMG_0727.JPG,https://drive.google.com/file/d/1fbX2XeV0js-nq4CARG22IGMpEQkWRc5H/view?usp=drivesdk,This object is orb-like and features a shiny appearance.,159,Orange,Summer,Juicy,Irregular,onion,6
IMG_0728.JPG,https://drive.google.com/file/d/1A2ANhVP2nnQVCMi6-nplWfYtlWTmw1DH/view?usp=drivesdk,A medium item distinguishable by its purple hue and globe-shaped form.,159,Orange,Year Round,Earthy,Oval,onion,7
IMG_0729.JPG,https://drive.google.com/file/d/1hF6cH6U1DjvTht5ZLK0FJynLVUcg1BO6/view?usp=drivesdk,A small globe-shaped specimen with a layered tan surface.,237,Yellow,Summer,Sharp,Round,onion,8
IMG_0730.JPG,https://drive.google.com/file/d/1ScJsZDuxMPP1qvJpip2VgaiGJbIzpYlE/view?usp=drivesdk,A medium organic matter distinguishable by its white hue and spherical form.,237,Orange,Autumn,Crisp,Asymmetric,onion,9
IMG_0731.JPG,https://drive.google.com/file/d/1a9v_TnrucTbdJL8uIHXtAuQXLwHzOPby/view?usp=drivesdk,This specimen is spherical and features a smooth appearance.,237,Yellow,Spring,Mild,Cylindrical,onion,10
IMG_0732.JPG,https://drive.google.com/file/d/14n0hhEUJbfnCMI3cyxfaF2d3eI4SpzRg/view?usp=drivesdk,A medium produce distinguishable by its beige hue and spherical form.,237,Yellow,Autumn,Mild,Globular,onion,11
IMG_0733.JPG,https://drive.google.com/file/d/1nzl32uKO5WbXgsCRumR8xyCnHH5LMUO8/view?usp=drivesdk,This organic matter is spherical and features a polished appearance.,96,Orange,Summer,Earthy,Conical,onion,12
IMG_0734.JPG,https://drive.google.com/file/d/1hBiJxUH08hBx4scOAn3Z2sPl5xilT4bC/view?usp=drivesdk,A small round produce with a thin beige surface.,96,Orange,Year Round,Crisp,Globular,onion,13
IMG_0735.JPG,https://drive.google.com/file/d/12JUR4LV4XX-GZ6e-M4sXwrfMwQwpgX4D/view?usp=drivesdk,A white organic matter with a orb-like silhouette.,96,Orange,Summer,Sharp,Round,onion,14
IMG_0736.JPG,https://drive.google.com/file/d/1npemNgl-0OySllBzG5WA697KvCrbsZyQ/view?usp=drivesdk,This organic matter is circular and features a sleek appearance.,96,Yellow,Autumn,Mild,Globular,onion,15
IMG_0737.JPG,https://drive.google.com/file/d/1khBj5HtGrcxiq-0UQHtY4C2JEqtNz_XD/view?usp=drivesdk,A medium sample distinguishable by its pale hue and round form.,152,Brown,Summer,Crisp,Irregular,onion,16
IMG_0738.JPG,https://drive.google.com/file/d/1_j-gct4BMnoybgShaDQATbrQZRtG68Iu/view?usp=drivesdk,A medium specimen distinguishable by its tan hue and orb-like form.,152,Brown,Summer,Crisp,Long,onion,17
IMG_0739.JPG,https://drive.google.com/file/d/1OcGWz3kaIeBNhIMHl4lk_17BThcIjott/view?usp=drivesdk,A small round specimen with a dry white surface.,152,Orange,Spring,Earthy,Flattened,onion,18
IMG_0740.JPG,https://drive.google.com/file/d/1HD8oeALq7csTf3P6A6PYq_y2sfnhIBkx/view?usp=drivesdk,A purple produce with a spherical silhouette.,152,Orange,Year Round,Earthy,Round,onion,19
IMG_0741.JPG,https://drive.google.com/file/d/1b_uKVxzPPEgiQarVrPS-jaXA08fy5Ghy/view?usp=drivesdk,A beige organic matter with a spherical silhouette.,174,Brown,Autumn,Juicy,Long,onion,20
IMG_0742.JPG,https://drive.google.com/file/d/18cibItKxy_ePiN11FIpeHDBqmwWar1cU/view?usp=drivesdk,A beige item with a spherical silhouette.,174,Brown,Autumn,Sharp,Irregular,onion,21
IMG_0743.JPG,https://drive.google.com/file/d/1byN_eECU7rW5mv6rCTCf_s8_TQA5YY6T/view?usp=drivesdk,A medium globe-shaped organic matter with a polished tan surface.,174,Brown,Summer,Juicy,Long,onion,22
IMG_0744.JPG,https://drive.google.com/file/d/1W6JtmxDW_7SozYb5Jdu3UHBpASuLhT6c/view?usp=drivesdk,A medium item distinguishable by its purple hue and globe-shaped form.,174,Brown,Year Round,Earthy,Asymmetric,onion,23
