id,label
1,onion
2,onion
3,onion
4,onion
5,onion
6,onion
7,onion
8,onion
9,onion
10,onion
11,onion
12,onion
13,onion
14,onion
15,onion
16,onion
17,onion
18,onion
19,onion
20,onion
21,onion
22,onion
23,onion
24,onion
25,onion
26,onion
27,onion
28,onion
29,onion
30,onion
31,onion
32,onion
33,onion
34,onion
35,onion
36,onion
37,onion
38,onion
39,onion
40,onion
41,onion
42,onion
43,onion
44,onion
45,onion
46,onion
47,onion
48,onion
49,onion
50,onion
51,onion
52,onion
53,onion
54,onion
55,onion
56,onion
57,onion
58,onion
59,onion
60,potato
61,potato
62,potato
63,potato
64,potato
65,potato
66,potato
67,potato
68,potato
69,potato
70,potato
71,potato
72,potato
73,potato
74,potato
75,potato
76,potato
77,apple
78,apple
79,apple
80,apple
81,apple
82,apple
83,apple
84,apple
85,apple
86,apple
87,apple
88,apple
89,apple
90,apple
91,apple
92,apple
93,apple
94,apple
95,apple
96,apple
97,apple
98,apple
99,apple
100,apple
101,apple
102,apple
103,apple
104,apple
105,apple
106,apple
107,apple
108,apple
109,apple
110,apple
111,apple
112,apple
113,apple
114,banana
115,banana
116,banana
117,banana
118,banana
119,banana
120,banana
121,banana
122,banana
123,banana
124,banana
125,banana
126,banana
127,banana
128,apple
129,apple
130,apple
131,apple
132,apple
133,apple
134,mandarin
135,mandarin
136,mandarin
137,banana
138,banana
139,banana
140,banana
141,banana
142,banana
143,banana
144,banana
145,banana
146,banana
147,banana
148,banana
149,banana
150,banana
151,banana
152,banana
153,banana
154,banana
155,banana
156,banana
157,banana
158,banana
159,banana
160,banana
161,banana
162,banana
163,banana
164,banana
165,banana
166,banana
167,banana
168,banana
169,banana
170,banana
171,banana
172,banana
173,banana
174,banana
175,potato
176,potato
177,potato
178,potato
179,potato
180,potato
181,potato
182,potato
183,potato
184,potato
185,potato
186,potato
187,potato
188,potato
189,potato
190,potato
191,potato
192,potato
193,potato
194,potato
195,potato
196,potato
197,potato
198,potato
199,potato
200,potato
201,potato
202,potato
203,potato
204,potato
205,potato
206,potato
207,potato
208,potato
209,potato
210,potato
211,potato
212,potato
213,potato
214,potato
215,potato
216,potato
217,potato
218,potato
219,potato
220,potato
221,potato
222,potato
223,potato
224,potato
225,potato
226,onion
227,onion
228,onion
229,onion
230,onion
231,onion
232,onion
233,onion
234,onion
235,onion
236,onion
237,onion
238,onion
239,onion
240,onion
241,onion
242,onion
243,onion
244,onion
245,onion
246,onion
247,onion
248,onion
249,mandarin
250,mandarin
251,mandarin
252,mandarin
253,mandarin
254,mandarin
255,mandarin
256,mandarin
257,mandarin
258,mandarin
259,mandarin
260,mandarin
261,mandarin
262,mandarin
263,mandarin
264,mandarin
265,mandarin
266,potato
267,potato
268,potato
269,apple
270,apple
271,apple
272,apple
273,apple
274,apple
275,apple
276,apple
277,apple
278,apple
279,apple
280,apple
281,apple
282,apple
283,apple
284,apple
285,apple
286,apple
287,apple
288,apple
289,apple
290,apple
291,apple
292,apple
293,apple
294,apple
295,apple
296,apple
297,apple
298,apple
299,apple
300,apple
301,apple
302,apple
303,apple
304,apple
305,apple
306,apple
307,apple
308,apple
309,apple
310,apple
311,apple
312,apple
313,apple
314,apple
315,apple
316,apple
317,apple
318,apple
319,apple
320,apple
321,apple
322,apple
323,apple
324,apple
325,apple
326,mandarin
327,mandarin
328,mandarin
329,mandarin
330,mandarin
331,mandarin
332,mandarin
333,mandarin
334,mandarin
335,mandarin
336,mandarin
337,mandarin
338,mandarin
339,mandarin
340,mandarin
341,mandarin
342,mandarin
343,mandarin
344,mandarin
345,mandarin
346,mandarin
347,mandarin
348,mandarin
349,mandarin
350,mandarin
351,mandarin
